City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Buala,SB,2021-10-10 21:05:52,-8.145,159.5921,81.3,80,96,5.14
158,Pitimbu,BR,2021-10-10 21:05:53,-7.4706,-34.8086,79.39,79,52,9.01
159,Chuy,UY,2021-10-10 21:05:11,-33.6971,-53.4616,60.58,78,95,15.61
160,Antalaha,MG,2021-10-10 21:05:53,-14.9003,50.2788,65.64,82,27,6.96
161,Malakal,SS,2021-10-10 21:05:53,9.5334,31.6605,77.23,78,83,3.49
162,Gat,IL,2021-10-10 21:05:54,31.61,34.7642,73.4,64,0,5.53
163,Kosa,RU,2021-10-10 21:05:54,59.9445,54.9977,36.41,93,100,6.89
164,Lasa,IT,2021-10-10 21:05:54,46.6166,10.7002,42.71,81,2,7.78
165,Kintampo,GH,2021-10-10 21:05:55,8.0563,-1.7306,75.4,89,100,8.05
166,Lompoc,US,2021-10-10 21:04:37,34.6391,-120.4579,86.14,57,1,10.36
167,Indianola,US,2021-10-10 21:05:55,41.3581,-93.5574,71.51,65,95,11.12
168,Atbasar,KZ,2021-10-10 21:05:55,51.8,68.3333,36.28,75,94,8.32
169,San Marcos,US,2021-10-10 21:03:21,33.1434,-117.1661,88.48,53,1,8.01
170,Ghanzi,BW,2021-10-10 21:05:56,-21.5667,21.7833,69.53,10,0,8.14
171,Tautira,PF,2021-10-10 21:05:56,-17.7333,-149.15,82.42,76,69,8.39
172,Cabo San Lucas,MX,2021-10-10 21:05:56,22.8909,-109.9124,96.62,66,20,5.01
173,Tromso,NO,2021-10-10 21:05:57,69.6496,18.957,46.42,93,75,6.91
174,Hambantota,LK,2021-10-10 21:05:57,6.1241,81.1185,79.14,100,0,6.91
175,Port Hedland,AU,2021-10-10 21:05:57,-20.3167,118.5667,71.65,28,51,12.66
176,San Patricio,US,2021-10-10 21:05:58,28.017,-97.5169,95.68,58,53,20.87
177,Hami,CN,2021-10-10 21:04:49,42.8,93.45,48.04,25,4,7.18
178,Almaznyy,RU,2021-10-10 21:05:58,48.0448,40.045,46.54,58,8,7.34
179,Upernavik,GL,2021-10-10 21:04:43,72.7868,-56.1549,33.08,98,100,12.64
180,Ubinskoye,RU,2021-10-10 21:05:59,55.3068,79.6802,33.57,80,100,12.73
181,Port Blair,IN,2021-10-10 21:05:59,11.6667,92.75,80.73,83,100,17.02
182,Deputatskiy,RU,2021-10-10 21:05:59,69.3,139.9,19.11,85,100,3.74
183,Tuktoyaktuk,CA,2021-10-10 21:03:17,69.4541,-133.0374,30.42,74,100,7.63
184,Yurimaguas,PE,2021-10-10 21:06:00,-5.9,-76.0833,93.36,45,20,5.75
